Telescope :,Gemini,,Instrument :,Flamingos II,Flamingos 2,,,,,,,,,,,,,,
Obj. Name,Date,FITS #,Program ID,Exposure (s),Filter,Local Time,Airmass,Seeing,Type,Flat #,Telluric # (Or BMAG;VMAG),Lamps #,Darks Program ID,Darks Date,Darks #,abba patterns,Reduce ? (0/1),Binary ?,Comments
HIP 24362,131008,132-135,GS-2013B-Q-79,,HK,,,,Telluric,122,A4,121,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,0,x,No science associated. Will not be useful
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 99895,131009,185-188,GS-2013B-Q-79,,JH,,,,Telluric,202,A0.5,201,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 99895,131009,189-192,GS-2013B-Q-79,,HK,,,,Telluric,208,A0.5,207,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J2022-5645,131009,197-200,GS-2013B-Q-79,,JH,,,,Science,202,185-188,201,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J2022-5645,131009,203-206,GS-2013B-Q-79,,HK,,,,Science,208,189-192,207,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131009,201,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131009,202,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131009,207,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131009,208,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 101908,131009,227-230,GS-2013B-Q-79,,JH,,,,Telluric,217,A0,216,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 101908,131009,231-234,GS-2013B-Q-79,,HK,,,,Telluric,223,A0,222,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J2033-3733,131009,212-215,GS-2013B-Q-79,,JH,,,,Science,217,227-230,216,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J2033-3733,131009,218-221,GS-2013B-Q-79,,HK,,,,Science,223,231-234,222,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131009,216,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131009,217,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131009,222,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131009,223,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
HIP 106382,131009,239-242,GS-2013B-Q-79,,JH,,,,Telluric,255,A0,254,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 106382,131009,243-246,GS-2013B-Q-79,,HK,,,,Telluric,261,A0,260,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J2134-1840,131009,250-253,GS-2013B-Q-79,,JH,,,,Science,255,239-242,254,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J2134-1840,131009,256-259,GS-2013B-Q-79,,HK,,,,Science,261,243-246,260,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131009,254,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131009,255,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131009,260,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131009,261,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 16433,131015,126-129,GS-2013B-Q-79,,JH,,,,Telluric,112,A0,113,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 16433,131015,130-133,GS-2013B-Q-79,,HK,,,,Telluric,120,A0,121,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0320-3313,131015,105-108,GS-2013B-Q-79,,JH,,,,Science,112,126-129,113,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0320-3313,131015,114-117,GS-2013B-Q-79,,HK,,,,Science,120,130-133,121,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131015,113,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131015,112,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131015,121,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131015,120,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 13917,131018,120-123,GS-2013B-Q-79,,JH,,,,Telluric,108,A0,107,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 13917,131018,124-127,GS-2013B-Q-79,,HK,,,,Telluric,114,A0,113,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0228+0218,131018,101-104,GS-2013B-Q-79,,JH,,,,Science,108,120-123,107,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0228+0218,131018,109-112,GS-2013B-Q-79,,HK,,,,Science,114,124-127,113,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131018,107,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131018,108,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131018,113,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131018,114,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
##########################################################################################################################################################################################################################################################################################,,,,,,,,,,,,,,,,,,,
HIP 15001,131019,131-134,GS-2013B-Q-79,,JH,,,,Telluric,120,A2.5,119,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
HIP 15001,131019,135-138,GS-2013B-Q-79,,HK,,,,Telluric,126,A2.5,125,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,x,
J0309-3014,131019,115-118,GS-2013B-Q-79,,JH,,,,Science,120,131-134,119,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
J0309-3014,131019,121-124,GS-2013B-Q-79,,HK,,,,Science,126,135-138,125,GS-2013B-Q-79,130927,37-42;134-217;238-255,abba,done,0,
Argon,131019,119,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,120,GS-2013B-Q-79,,JH,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
Argon,131019,125,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
FLAT,131019,126,GS-2013B-Q-79,,HK,,,,Calibrations,…,…,…,GS-2013B-Q-79,130927,37-42;134-217;238-255,x,x,x,
